bearing,delay,timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,signMessageLong,tripID,vehicle_id,vehicle_location_longitude,vehicle_location_latitude
15,5,2017-01-31 01:00:03,8347,21,11616,22,MAX  Red Line to Airport,7126432,115,-122.562224,45.538826
42,21,2017-01-31 01:02:55,10572,23,10574,24,MAX  Red Line to Airport,7126432,115,-122.563275,45.560844
270,35,2017-01-31 01:05:05,10574,24,10576,25,MAX  Red Line to Airport,7126432,115,-122.56148,45.572588
316,36,2017-01-31 01:07:14,10576,25,10579,26,MAX  Red Line to Airport,7126432,115,-122.568326,45.578959999999995
1,28,2017-01-31 01:00:43,11616,22,10572,23,MAX  Red Line to Airport,7126432,115,-122.560327,45.546828999999995
15,5,2017-01-31 01:00:03,8347,21,11616,22,MAX  Red Line to Airport,7126432,201,-122.562224,45.538826
42,21,2017-01-31 01:02:55,10572,23,10574,24,MAX  Red Line to Airport,7126432,201,-122.563275,45.560844
270,35,2017-01-31 01:05:05,10574,24,10576,25,MAX  Red Line to Airport,7126432,201,-122.56148,45.572588
316,36,2017-01-31 01:07:14,10576,25,10579,26,MAX  Red Line to Airport,7126432,201,-122.568326,45.578959999999995
1,28,2017-01-31 01:00:43,11616,22,10572,23,MAX  Red Line to Airport,7126432,201,-122.560327,45.546828999999995
359,-731,2017-01-31 01:06:26,8339,13,8340,14,MAX  Red Line to Airport,7126433,222,-122.671407,45.525672
90,-718,2017-01-31 01:10:05,8340,14,8341,15,MAX  Red Line to Airport,7126433,222,-122.66306999999999,45.530078
89,-778,2017-01-31 01:11:49,8341,15,8342,16,MAX  Red Line to Airport,7126433,222,-122.66093500000001,45.530076
90,-729,2017-01-31 01:13:17,8342,16,8343,17,MAX  Red Line to Airport,7126433,222,-122.65590800000001,45.53006
89,-749,2017-01-31 01:15:06,8343,17,8344,18,MAX  Red Line to Airport,7126433,222,-122.65244399999999,45.530055
107,-753,2017-01-31 01:18:38,8344,18,8345,19,MAX  Red Line to Airport,7126433,222,-122.620224,45.532643
52,-789,2017-01-31 01:21:13,8345,19,8346,20,MAX  Red Line to Airport,7126433,222,-122.602085,45.529090000000004
114,-791,2017-01-31 01:23:56,8346,20,8347,21,MAX  Red Line to Airport,7126433,222,-122.57666200000001,45.532821999999996
193,-852,2017-01-31 01:27:50,8347,21,11616,22,MAX  Red Line to Airport,7126433,222,-122.563588,45.529451
42,-880,2017-01-31 01:32:49,10572,23,10574,24,MAX  Red Line to Airport,7126433,222,-122.564241,45.560099
270,-881,2017-01-31 01:35:20,10574,24,10576,25,MAX  Red Line to Airport,7126433,222,-122.56148,45.572588
319,-881,2017-01-31 01:37:30,10576,25,10579,26,MAX  Red Line to Airport,7126433,222,-122.568273,45.578918
16,-848,2017-01-31 01:29:59,11616,22,10572,23,MAX  Red Line to Airport,7126433,222,-122.56119299999999,45.544247999999996
359,-731,2017-01-31 01:06:26,8339,13,8340,14,MAX  Red Line to Airport,7126433,325,-122.671407,45.525672
90,-718,2017-01-31 01:10:05,8340,14,8341,15,MAX  Red Line to Airport,7126433,325,-122.66306999999999,45.530078
89,-778,2017-01-31 01:11:49,8341,15,8342,16,MAX  Red Line to Airport,7126433,325,-122.66093500000001,45.530076
90,-729,2017-01-31 01:13:17,8342,16,8343,17,MAX  Red Line to Airport,7126433,325,-122.65590800000001,45.53006
89,-749,2017-01-31 01:15:06,8343,17,8344,18,MAX  Red Line to Airport,7126433,325,-122.65244399999999,45.530055
107,-753,2017-01-31 01:18:38,8344,18,8345,19,MAX  Red Line to Airport,7126433,325,-122.620224,45.532643
52,-789,2017-01-31 01:21:13,8345,19,8346,20,MAX  Red Line to Airport,7126433,325,-122.602085,45.529090000000004
114,-791,2017-01-31 01:23:56,8346,20,8347,21,MAX  Red Line to Airport,7126433,325,-122.57666200000001,45.532821999999996
193,-852,2017-01-31 01:27:50,8347,21,11616,22,MAX  Red Line to Airport,7126433,325,-122.563588,45.529451
42,-880,2017-01-31 01:32:49,10572,23,10574,24,MAX  Red Line to Airport,7126433,325,-122.564241,45.560099
